strut_id,defect,x0,y0,z0,x1,y1,z1,deep_interior
18104,bent,533.0,641.8,696.7,571.7,637.3,743.3,0
18130,bent,612.9,594.0,745.9,649.7,602.0,697.3,0
18150,disconnected,764.5,604.5,730.0,727.7,640.0,736.7,0
18151,disconnected,764.5,684.0,731.5,727.7,640.0,736.7,0
18159,bent,764.5,684.0,731.5,764.3,639.3,699.0,0
18180,disconnected,64.0,753.0,725.0,102.9,713.6,744.5,0
18185,thin,68.0,753.7,656.7,66.9,723.0,695.6,0
18187,bent,62.0,676.2,729.3,66.9,723.0,695.6,0
18192,missing,142.0,754.0,655.8,102.5,753.8,694.8,0
18193,missing,68.0,753.7,656.7,102.5,753.8,694.8,0
18194,missing,64.0,753.0,725.0,102.5,753.8,694.8,0
18195,missing,143.8,753.0,739.6,102.5,753.8,694.8,0
18196,bent,66.9,723.0,695.6,102.9,713.6,744.5,0
18198,thin,66.9,723.0,695.6,102.5,753.8,694.8,0
18200,missing,142.8,723.5,695.9,103.2,723.3,655.4,0
18205,bent,103.5,683.1,695.6,102.9,713.6,744.5,0
18206,bent,102.5,753.8,694.8,102.9,713.6,744.5,0
18215,disconnected,220.0,754.0,726.0,188.8,723.0,729.0,0
18224,missing,220.3,753.3,653.3,180.7,754.0,692.3,0
18225,missing,142.0,754.0,655.8,180.7,754.0,692.3,0
18226,disconnected,143.8,753.0,739.6,180.7,754.0,692.3,0
18227,missing,220.0,754.0,726.0,180.7,754.0,692.3,0
18233,thin,220.0,725.3,692.8,180.7,754.0,692.3,0
18238,missing,180.7,754.0,692.3,188.8,723.0,729.0,0
18240,thin,226.4,679.1,662.7,259.9,722.2,656.8,0
18249,missing,220.3,753.3,653.3,220.0,725.3,692.8,0
18256,missing,298.5,752.2,656.8,255.8,752.5,697.0,0
18257,missing,220.3,753.3,653.3,255.8,752.5,697.0,0
18258,disconnected,220.0,754.0,726.0,255.8,752.5,697.0,0
18259,missing,298.0,753.0,727.0,255.8,752.5,697.0,0
18265,thin,298.9,722.4,696.2,255.8,752.5,697.0,0
18270,disconnected,255.8,752.5,697.0,259.9,720.1,736.9,0
18274,missing,380.0,751.0,658.0,337.6,721.9,657.2,0
18288,missing,380.0,751.0,658.0,337.5,752.2,695.2,0
18289,missing,298.5,752.2,656.8,337.5,752.2,695.2,0
18290,missing,298.0,753.0,727.0,337.5,752.2,695.2,0
18291,missing,377.0,753.0,727.0,337.5,752.2,695.2,0
18313,thin,380.0,751.0,658.0,377.0,721.4,696.4,0
18319,bent,458.0,668.7,743.7,415.9,682.2,696.6,0
18320,missing,454.8,752.2,656.8,415.8,751.2,696.5,0
18321,missing,380.0,751.0,658.0,415.8,751.2,696.5,0
18322,missing,377.0,753.0,727.0,415.8,751.2,696.5,0
18323,missing,455.0,752.0,728.0,415.8,751.2,696.5,0
18324,bent,377.0,721.4,696.4,415.5,718.5,741.5,0
18347,bent,458.0,668.7,743.7,455.1,721.1,696.9,0
18350,bent,458.0,668.7,743.7,494.4,681.4,697.2,0
18352,missing,533.2,751.8,657.8,494.0,751.0,697.2,0
18353,missing,454.8,752.2,656.8,494.0,751.0,697.2,0
18354,missing,455.0,752.0,728.0,494.0,751.0,697.2,0
18355,missing,533.0,752.0,728.0,494.0,751.0,697.2,0
18384,missing,611.0,750.8,657.2,572.0,751.5,697.2,0
18385,missing,533.2,751.8,657.8,572.0,751.5,697.2,0
18386,missing,533.0,752.0,728.0,572.0,751.5,697.2,0
18387,missing,611.0,752.0,729.0,572.0,751.5,697.2,0
18407,disconnected,690.0,750.0,726.0,651.0,719.5,736.0,0
18414,bent,607.7,681.3,743.0,646.6,683.3,697.2,0
18416,missing,689.5,750.0,658.2,650.2,751.2,696.5,0
18417,missing,611.0,750.8,657.2,650.2,751.2,696.5,0
18418,missing,611.0,752.0,729.0,650.2,751.2,696.5,0
18419,missing,690.0,750.0,726.0,650.2,751.2,696.5,0
18430,thin,650.2,751.2,696.5,651.0,719.5,736.0,0
18436,disconnected,690.0,750.0,726.0,729.0,719.5,737.5,0
18439,missing,766.0,749.0,727.0,729.0,719.5,737.5,0
18445,thin,763.0,750.3,657.7,764.9,719.5,698.8,0
18450,bent,685.1,669.6,745.8,729.0,679.5,699.0,0
18452,missing,763.0,750.3,657.7,728.5,750.5,697.2,0
18453,missing,689.5,750.0,658.2,728.5,750.5,697.2,0
18454,missing,690.0,750.0,726.0,728.5,750.5,697.2,0
18455,missing,766.0,749.0,727.0,728.5,750.5,697.2,0
18461,thin,764.9,719.5,698.8,728.5,750.5,697.2,0
18466,thin,728.5,750.5,697.2,729.0,719.5,737.5,0
